site,fluorimeter,volume.AMC,conc.AMC.nM,RFU,when,fluorophore
SPP,UT,0,0,718.6,TN2015,AMC
SPP,UT,5,50,33426.52,TN2015,AMC
SPP,UT,10,100,64480.73,TN2015,AMC
SPP,UT,20,200,129493.68,TN2015,AMC
SPP,UT,30,300,199648.2,TN2015,AMC
SPP,UT,40,400,271344.56,TN2015,AMC
SPP,UT,50,500,339949.34,TN2015,AMC
SPP,UT,60,600,402961.65,TN2015,AMC
SPP,UT,70,700,471366.15,TN2015,AMC
SPP,UT,80,800,539875.68,TN2015,AMC
GSMIT,UT,0,0,753.75,TN2015,AMC
GSMIT,UT,5,50,33184.35,TN2015,AMC
GSMIT,UT,10,100,65382.9,TN2015,AMC
GSMIT,UT,20,200,129017.29,TN2015,AMC
GSMIT,UT,30,300,197085.42,TN2015,AMC
GSMIT,UT,40,400,269682.06,TN2015,AMC
GSMIT,UT,50,500,335463.34,TN2015,AMC
GSMIT,UT,60,600,379396.37,TN2015,AMC
GSMIT,UT,70,700,459654.84,TN2015,AMC
GSMIT,UT,80,800,526238.18,TN2015,AMC
TNRIV,UT,0,0,1180.21,TN2015,AMC
TNRIV,UT,5,50,29858.75,TN2015,AMC
TNRIV,UT,10,100,59811.55,TN2015,AMC
TNRIV,UT,20,200,119777.93,TN2015,AMC
TNRIV,UT,30,300,181015.14,TN2015,AMC
TNRIV,UT,40,400,253410.39,TN2015,AMC
TNRIV,UT,50,500,316017.96,TN2015,AMC
TNRIV,UT,60,600,372361.03,TN2015,AMC
TNRIV,UT,70,700,435576.81,TN2015,AMC
TNRIV,UT,80,800,489773.12,TN2015,AMC
TNRIV,UT,90,900,577108.12,TN2015,AMC
TNRIV,UT,120,1200,765202.5,TN2015,AMC
TNRIV,UT,150,1500,954549.37,TN2015,AMC
EBFISH,UT,0,0,1671.5,TN2015,AMC
EBFISH,UT,5,50,33898.18,TN2015,AMC
EBFISH,UT,10,100,64061.46,TN2015,AMC
EBFISH,UT,20,200,129803.81,TN2015,AMC
EBFISH,UT,30,300,192595.1,TN2015,AMC
EBFISH,UT,40,400,264210.84,TN2015,AMC
EBFISH,UT,50,500,321529.12,TN2015,AMC
EBFISH,UT,60,600,392276.68,TN2015,AMC
EBFISH,UT,70,700,454990.12,TN2015,AMC
EBFISH,UT,80,800,522554.78,TN2015,AMC
DOUGLAS,UT,0,0,923.76,TN2015,AMC
DOUGLAS,UT,5,50,32112.66,TN2015,AMC
DOUGLAS,UT,10,100,62830.94,TN2015,AMC
DOUGLAS,UT,20,200,131448.14,TN2015,AMC
DOUGLAS,UT,30,300,188189.68,TN2015,AMC
DOUGLAS,UT,40,400,267122.46,TN2015,AMC
DOUGLAS,UT,50,500,315955.06,TN2015,AMC
DOUGLAS,UT,60,600,402095.46,TN2015,AMC
DOUGLAS,UT,70,700,432461.56,TN2015,AMC
DOUGLAS,UT,90,900,565194.18,TN2015,AMC
DOUGLAS,UT,110,1100,699172.56,TN2015,AMC
DOUGLAS,UT,130,1300,833812.56,TN2015,AMC
HESLER,UT,0,0,5034.08,TN2015,AMC
HESLER,UT,5,50,35098.58,TN2015,AMC
HESLER,UT,10,100,66518.57,TN2015,AMC
HESLER,UT,20,200,122503.75,TN2015,AMC
HESLER,UT,30,300,185931.54,TN2015,AMC
HESLER,UT,40,400,251296.67,TN2015,AMC
HESLER,UT,50,500,317893.93,TN2015,AMC
HESLER,UT,60,600,376919.06,TN2015,AMC
HESLER,UT,70,700,417407.78,TN2015,AMC
HESLER,UT,90,900,542032.37,TN2015,AMC
HESLER,UT,110,1100,666136,TN2015,AMC
HESLER,UT,130,1300,793156.75,TN2015,AMC
DOUGLAS2,UT,0,0,1025.55,TN2015,AMC
DOUGLAS2,UT,5,50,34463.82,TN2015,AMC
DOUGLAS2,UT,10,100,67718.85,TN2015,AMC
DOUGLAS2,UT,20,200,140354.62,TN2015,AMC
DOUGLAS2,UT,30,300,192016.5,TN2015,AMC
DOUGLAS2,UT,40,400,255544.84,TN2015,AMC
DOUGLAS2,UT,50,500,330990.96,TN2015,AMC
DOUGLAS2,UT,60,600,412619.46,TN2015,AMC
DOUGLAS2,UT,100,1000,663770.93,TN2015,AMC
DOUGLAS2,UT,140,1400,920085.93,TN2015,AMC
DOUGLAS2,UT,180,1800,1207892.12,TN2015,AMC
SISBP,UT,0,0,1495.65,TN2015,AMC
SISBP,UT,5,50,35948.81,TN2015,AMC
SISBP,UT,10,100,66064.52,TN2015,AMC
SISBP,UT,20,200,129177.17,TN2015,AMC
SISBP,UT,30,300,197237.71,TN2015,AMC
SISBP,UT,40,400,257962.75,TN2015,AMC
SISBP,UT,50,500,340792.01,TN2015,AMC
SISBP,UT,60,600,398946.93,TN2015,AMC
SISBP,UT,70,700,478073.96,TN2015,AMC
SISBP,UT,80,800,568815.18,TN2015,AMC
THIRDCREEK,UT,0,0,1341.42,TN2015,AMC
THIRDCREEK,UT,10,100,66011.96,TN2015,AMC
THIRDCREEK,UT,20,200,143493.12,TN2015,AMC
THIRDCREEK,UT,30,300,195624.67,TN2015,AMC
THIRDCREEK,UT,40,400,269742.84,TN2015,AMC
THIRDCREEK,UT,50,500,333219.9,TN2015,AMC
THIRDCREEK,UT,60,600,383069.34,TN2015,AMC
THIRDCREEK,UT,70,700,469009.43,TN2015,AMC
THIRDCREEK,UT,80,800,578035.68,TN2015,AMC
THIRDCREEK,UT,90,900,606538.81,TN2015,AMC
WFPC,UT,0,0,2663.82,TN2015,AMC
WFPC,UT,10,100,67943.7,TN2015,AMC
WFPC,UT,20,200,138316.31,TN2015,AMC
WFPC,UT,30,300,219025.4,TN2015,AMC
WFPC,UT,40,400,292524.06,TN2015,AMC
WFPC,UT,50,500,397322.53,TN2015,AMC
WFPC,UT,60,600,427412.06,TN2015,AMC
WFPC,UT,70,700,492630.96,TN2015,AMC
WFPC,UT,80,800,564428.06,TN2015,AMC
WFPC,UT,90,900,650869.12,TN2015,AMC
TNRIV2,UT,0,0,1200.77,TN2015,AMC
TNRIV2,UT,10,100,66534.64,TN2015,AMC
TNRIV2,UT,20,200,134460.67,TN2015,AMC
TNRIV2,UT,30,300,205257.35,TN2015,AMC
TNRIV2,UT,40,400,280216.21,TN2015,AMC
TNRIV2,UT,50,500,333751.9,TN2015,AMC
TNRIV2,UT,60,600,407680.68,TN2015,AMC
TNRIV2,UT,70,700,481377.43,TN2015,AMC
TNRIV2,UT,80,800,569871.68,TN2015,AMC
TNRIV2,UT,90,900,675704.56,TN2015,AMC
EASTMAN,UT,0,0,947.61,TN2015,AMC
EASTMAN,UT,10,100,70953.75,TN2015,AMC
EASTMAN,UT,20,200,140754.46,TN2015,AMC
EASTMAN,UT,30,300,198818.87,TN2015,AMC
EASTMAN,UT,40,400,270851.06,TN2015,AMC
EASTMAN,UT,50,500,377589.46,TN2015,AMC
EASTMAN,UT,60,600,421545.75,TN2015,AMC
EASTMAN,UT,70,700,481734.5,TN2015,AMC
EASTMAN,UT,80,800,579841.5,TN2015,AMC
EASTMAN,UT,90,900,695684.37,TN2015,AMC
IJAMS,UT,0,0,835.11,TN2015,AMC
IJAMS,UT,10,100,66619.72,TN2015,AMC
IJAMS,UT,20,200,151417.68,TN2015,AMC
IJAMS,UT,30,300,210329.37,TN2015,AMC
IJAMS,UT,40,400,274848.65,TN2015,AMC
IJAMS,UT,50,500,375880.46,TN2015,AMC
IJAMS,UT,60,600,422325.84,TN2015,AMC
IJAMS,UT,70,700,492673.68,TN2015,AMC
IJAMS,UT,80,800,586982.12,TN2015,AMC
IJAMS,UT,90,900,674121.06,TN2015,AMC
WATERPLANT,UT,0,0,2663.82,TN2015,AMC
WATERPLANT,UT,10,100,67943.7,TN2015,AMC
WATERPLANT,UT,20,200,138316.31,TN2015,AMC
WATERPLANT,UT,30,300,219025.4,TN2015,AMC
WATERPLANT,UT,40,400,292524.06,TN2015,AMC
WATERPLANT,UT,50,500,397322.53,TN2015,AMC
WATERPLANT,UT,60,600,427412.06,TN2015,AMC
WATERPLANT,UT,70,700,492630.96,TN2015,AMC
WATERPLANT,UT,80,800,564428.06,TN2015,AMC
WATERPLANT,UT,90,900,650869.12,TN2015,AMC
