site ,fluorophore,sample.type,volume.ul,RFU,time,date ,conc.AMC.nM,when,fluorimeter
FP,AMC,whole,0,2198.18,15:45,6/1/2016,0,PEEC2016,UT
FP,AMC,whole,10,9330.1,15:46,6/1/2016,10,PEEC2016,UT
FP,AMC,whole,20,21430.84,15:46,6/1/2016,20,PEEC2016,UT
FP,AMC,whole,30,22222.45,15:46,6/1/2016,30,PEEC2016,UT
FP,AMC,whole,100,107455.98,15:46,6/1/2016,100,PEEC2016,UT
FP,AMC,whole,150,151914.71,15:47,6/1/2016,150,PEEC2016,UT
FP,AMC,whole,200,206776.45,15:47,6/1/2016,200,PEEC2016,UT
FP,AMC,whole,250,230674.17,15:47,6/1/2016,250,PEEC2016,UT
FP,AMC,whole,300,283026.09,15:48,6/1/2016,300,PEEC2016,UT
BB1,AMC,whole,0,6604.22,11:28,6/2/2016,0,PEEC2016,UT
BB1,AMC,whole,10,2188.9,11:28,6/2/2016,10,PEEC2016,UT
BB1,AMC,whole,20,24558.07,11:28,6/2/2016,20,PEEC2016,UT
BB1,AMC,whole,30,37644.93,11:29,6/2/2016,30,PEEC2016,UT
BB1,AMC,whole,40,53528.95,11:29,6/2/2016,40,PEEC2016,UT
BB1,AMC,whole,50,58963.85,11:29,6/2/2016,50,PEEC2016,UT
BB1,AMC,whole,60,77417.93,11:29,6/2/2016,60,PEEC2016,UT
BB1,AMC,whole,70,91615.58,11:30,6/2/2016,70,PEEC2016,UT
BB1,AMC,whole,80,82245.03,11:30,6/2/2016,80,PEEC2016,UT
BB1,AMC,whole,90,94363.4,11:30,6/2/2016,90,PEEC2016,UT
BB2,AMC,whole,0,6372.32,11:14,6/2/2016,0,PEEC2016,UT
BB2,AMC,whole,10,6540.53,11:14,6/2/2016,10,PEEC2016,UT
BB2,AMC,whole,20,6649.53,11:14,6/2/2016,20,PEEC2016,UT
BB2,AMC,whole,30,10443.61,11:15,6/2/2016,30,PEEC2016,UT
BB2,AMC,whole,40,49308.12,11:15,6/2/2016,40,PEEC2016,UT
BB2,AMC,whole,50,47245.06,11:15,6/2/2016,50,PEEC2016,UT
BB2,AMC,whole,60,59472.76,11:16,6/2/2016,60,PEEC2016,UT
BB2,AMC,whole,70,86104.3,11:16,6/2/2016,70,PEEC2016,UT
BB2,AMC,whole,80,92909.47,11:16,6/2/2016,80,PEEC2016,UT
PP,AMC,whole,0,2813,14:56,6/2/2016,0,PEEC2016,UT
PP,AMC,whole,10,2938.36,14:56,6/2/2016,10,PEEC2016,UT
PP,AMC,whole,20,6261.3,14:56,6/2/2016,20,PEEC2016,UT
PP,AMC,whole,30,20669.4,14:57,6/2/2016,30,PEEC2016,UT
PP,AMC,whole,40,53785.82,14:57,6/2/2016,40,PEEC2016,UT
PP,AMC,whole,50,59421.73,14:57,6/2/2016,50,PEEC2016,UT
PP,AMC,whole,60,12090.68,14:58,6/2/2016,60,PEEC2016,UT
PP,AMC,whole,70,68409.63,14:58,6/2/2016,70,PEEC2016,UT
PP,AMC,whole,80,97237.68,14:59,6/2/2016,80,PEEC2016,UT
PP,AMC,whole,90,118210.49,14:59,6/2/2016,90,PEEC2016,UT
BS,AMC,whole,0,6372.32,11:14,6/2/2016,0,PEEC2016,UT
BS,AMC,whole,10,6540.53,11:14,6/2/2016,10,PEEC2016,UT
BS,AMC,whole,20,6649.53,11:14,6/2/2016,20,PEEC2016,UT
BS,AMC,whole,30,10443.61,11:15,6/2/2016,30,PEEC2016,UT
BS,AMC,whole,40,49308.12,11:15,6/2/2016,40,PEEC2016,UT
BS,AMC,whole,50,47245.06,11:15,6/2/2016,50,PEEC2016,UT
BS,AMC,whole,60,59472.76,11:16,6/2/2016,60,PEEC2016,UT
BS,AMC,whole,70,86104.3,11:16,6/2/2016,70,PEEC2016,UT
BS,AMC,whole,80,92909.47,11:16,6/2/2016,80,PEEC2016,UT
