site,fluorimeter_number,conc.std.uM,vol.AMC.ul,RFU,conc.AMC.uM,reliable,fluorimeter,when,fluorophore,conc.AMC.nM
SR,1,1000,0,255.8,0,TRUE,MXS,PEEC2015,AMC,0
SR,1,1000,10,14799,10,TRUE,MXS,PEEC2015,AMC,10000
SR,1,1000,20,28436,20,TRUE,MXS,PEEC2015,AMC,20000
SR,1,1000,30,59156,30,TRUE,MXS,PEEC2015,AMC,30000
SR,1,1000,40,66148,40,TRUE,MXS,PEEC2015,AMC,40000
SR,1,10,0,257.5,0,TRUE,MXS,PEEC2015,AMC,0
SR,1,10,10,1139,0.1,TRUE,MXS,PEEC2015,AMC,100
SR,1,10,20,1341,0.2,TRUE,MXS,PEEC2015,AMC,200
SR,1,10,30,1635,0.3,TRUE,MXS,PEEC2015,AMC,300
SR,1,10,40,1864,0.4,TRUE,MXS,PEEC2015,AMC,400
RR,1,10,0,487.9,0,TRUE,MXS,PEEC2015,AMC,0
RR,1,10,10,585.6,0.1,TRUE,MXS,PEEC2015,AMC,100
RR,1,10,20,760.1,0.2,TRUE,MXS,PEEC2015,AMC,200
RR,1,10,30,975.2,0.3,TRUE,MXS,PEEC2015,AMC,300
RR,1,10,40,1140,0.4,TRUE,MXS,PEEC2015,AMC,400
RR,1,1000,0,560.8,0,TRUE,MXS,PEEC2015,AMC,0
RR,1,1000,10,8984,10,TRUE,MXS,PEEC2015,AMC,10000
RR,1,1000,20,20072,20,TRUE,MXS,PEEC2015,AMC,20000
RR,1,1000,30,35299,30,TRUE,MXS,PEEC2015,AMC,30000
RR,1,1000,40,46348,40,TRUE,MXS,PEEC2015,AMC,40000
MN1,1,1000,0,364.1,0,TRUE,MXS,PEEC2015,AMC,0
MN1,1,1000,10,16722,10,TRUE,MXS,PEEC2015,AMC,10000
MN1,1,1000,20,32135,20,TRUE,MXS,PEEC2015,AMC,20000
MN1,1,1000,30,47000,30,TRUE,MXS,PEEC2015,AMC,30000
MN1,1,1000,40,61314,40,TRUE,MXS,PEEC2015,AMC,40000
MN1,1,100,0,370.5,0,TRUE,MXS,PEEC2015,AMC,0
MN1,1,100,10,5571,1,TRUE,MXS,PEEC2015,AMC,1000
MN1,1,100,20,9531,2,TRUE,MXS,PEEC2015,AMC,2000
MN1,1,100,30,13895,3,TRUE,MXS,PEEC2015,AMC,3000
MN1,1,100,40,14694,4,TRUE,MXS,PEEC2015,AMC,4000
MN2,1,1000,0,369,0,TRUE,MXS,PEEC2015,AMC,0
MN2,1,1000,10,14160,10,TRUE,MXS,PEEC2015,AMC,10000
MN2,1,1000,20,27977,20,TRUE,MXS,PEEC2015,AMC,20000
MN2,1,1000,30,40894,30,TRUE,MXS,PEEC2015,AMC,30000
MN2,1,1000,40,53733,40,TRUE,MXS,PEEC2015,AMC,40000
MN2,1,10,0,351.1,0,TRUE,MXS,PEEC2015,AMC,0
MN2,1,10,10,716.9,0.1,TRUE,MXS,PEEC2015,AMC,100
MN2,1,10,20,920.6,0.2,TRUE,MXS,PEEC2015,AMC,200
MN2,1,10,30,1185,0.3,TRUE,MXS,PEEC2015,AMC,300
MN2,1,10,40,1450,0.4,TRUE,MXS,PEEC2015,AMC,400
AB,1,1000,0,630.1,0,TRUE,MXS,PEEC2015,AMC,0
AB,1,1000,10,30147,10,TRUE,MXS,PEEC2015,AMC,10000
AB,1,1000,20,47703,20,TRUE,MXS,PEEC2015,AMC,20000
AB,1,1000,30,52660,30,TRUE,MXS,PEEC2015,AMC,30000
AB,1,1000,40,57254,40,TRUE,MXS,PEEC2015,AMC,40000
AB,1,100,0,608.5,0,TRUE,MXS,PEEC2015,AMC,0
AB,1,100,10,10494,1,TRUE,MXS,PEEC2015,AMC,1000
AB,1,100,20,12341,2,TRUE,MXS,PEEC2015,AMC,2000
AB,1,100,30,16759,3,TRUE,MXS,PEEC2015,AMC,3000
AB,1,100,40,19052,4,TRUE,MXS,PEEC2015,AMC,4000
PP,1,100,0,276.1,0,TRUE,MXS,PEEC2015,AMC,0
PP,1,100,10,2032,1,TRUE,MXS,PEEC2015,AMC,1000
PP,1,100,20,5947,2,TRUE,MXS,PEEC2015,AMC,2000
PP,1,100,30,17515,3,TRUE,MXS,PEEC2015,AMC,3000
PP,1,100,40,21948,4,TRUE,MXS,PEEC2015,AMC,4000
FP,2,100,0,1296,0,FALSE,UT2,PEEC2015,AMC,0
FP,2,100,10,1577,0.1,FALSE,UT2,PEEC2015,AMC,100
FP,2,100,20,5802,0.2,FALSE,UT2,PEEC2015,AMC,200
FP,2,100,30,11049,0.3,FALSE,UT2,PEEC2015,AMC,300
FP,2,100,40,11862,0.4,FALSE,UT2,PEEC2015,AMC,400
AC,3,100,0,338.4,0,FALSE,UT,PEEC2015,AMC,0
AC,3,100,10,921.67,0.1,FALSE,UT,PEEC2015,AMC,100
AC,3,100,20,3963,0.2,FALSE,UT,PEEC2015,AMC,200
AC,3,100,30,5474,0.3,FALSE,UT,PEEC2015,AMC,300
AC,3,100,40,6965,0.4,FALSE,UT,PEEC2015,AMC,400
LL,1,100,0,365.7,0,TRUE,MXS,PEEC2015,AMC,0
LL,1,100,10,5160,1,TRUE,MXS,PEEC2015,AMC,1000
LL,1,100,20,9856,2,TRUE,MXS,PEEC2015,AMC,2000
LL,1,100,30,14870,3,TRUE,MXS,PEEC2015,AMC,3000
LL,1,100,40,19575,4,TRUE,MXS,PEEC2015,AMC,4000
BS,3,1000,0,10656,0,TRUE,UT,PEEC2015,AMC,0
BS,3,1000,10,413557,10,TRUE,UT,PEEC2015,AMC,10000
BS,3,1000,20,875165,20,TRUE,UT,PEEC2015,AMC,20000
BS,3,1000,30,1290150,30,TRUE,UT,PEEC2015,AMC,30000
BS,3,1000,40,1860357,40,TRUE,UT,PEEC2015,AMC,40000
TW,2,1000,0,2512,0,TRUE,UT2,PEEC2015,AMC,0
TW,2,1000,10,266732,10,TRUE,UT2,PEEC2015,AMC,10000
TW,2,1000,20,540450,20,TRUE,UT2,PEEC2015,AMC,20000
TW,2,1000,30,989047,30,TRUE,UT2,PEEC2015,AMC,30000
TW,2,1000,40,1023387,40,TRUE,UT2,PEEC2015,AMC,40000
VP,1,100,0,1346,0,TRUE,MXS,PEEC2015,AMC,0
VP,1,100,10,3954,1,TRUE,MXS,PEEC2015,AMC,1000
VP,1,100,20,7153,2,TRUE,MXS,PEEC2015,AMC,2000
VP,1,100,30,10535,3,TRUE,MXS,PEEC2015,AMC,3000
VP,1,100,40,13057,4,TRUE,MXS,PEEC2015,AMC,4000
BB2,2,100,0,10442,0,TRUE,UT2,PEEC2015,AMC,0
BB2,2,100,10,55900,1,TRUE,UT2,PEEC2015,AMC,1000
BB2,2,100,20,124052,2,TRUE,UT2,PEEC2015,AMC,2000
BB2,2,100,30,140334,3,TRUE,UT2,PEEC2015,AMC,3000
BB2,2,100,40,176089,4,TRUE,UT2,PEEC2015,AMC,4000
BB2,2,10,0,9488,0,TRUE,UT2,PEEC2015,AMC,0
BB2,2,10,10,11783,0.1,TRUE,UT2,PEEC2015,AMC,100
BB2,2,10,20,13538,0.2,TRUE,UT2,PEEC2015,AMC,200
BB2,2,10,30,15930,0.3,TRUE,UT2,PEEC2015,AMC,300
BB2,2,10,40,18824,0.4,TRUE,UT2,PEEC2015,AMC,400
BB1,3,1000,0,5668,0,TRUE,UT,PEEC2015,AMC,0
BB1,3,1000,10,81068,10,TRUE,UT,PEEC2015,AMC,10000
BB1,3,1000,20,156540,20,TRUE,UT,PEEC2015,AMC,20000
BB1,3,1000,30,235360,30,TRUE,UT,PEEC2015,AMC,30000
BB1,3,1000,40,256790,40,TRUE,UT,PEEC2015,AMC,40000
BB1,3,100,0,5668,0,TRUE,MXS,PEEC2015,AMC,0
BB1,3,100,10,9891,1,TRUE,MXS,PEEC2015,AMC,1000
BB1,3,100,20,14125,2,TRUE,MXS,PEEC2015,AMC,2000
BB1,3,100,30,18261,3,TRUE,MXS,PEEC2015,AMC,3000
BB1,3,100,40,22292,4,TRUE,MXS,PEEC2015,AMC,4000
FP,2,100,0,2631,0,TRUE,UT2,PEEC2015,AMC,0
FP,2,100,10,69184,1,TRUE,UT2,PEEC2015,AMC,1000
FP,2,100,20,138289,2,TRUE,UT2,PEEC2015,AMC,2000
FP,2,100,30,212476,3,TRUE,UT2,PEEC2015,AMC,3000
FP,2,100,40,227522,4,TRUE,UT2,PEEC2015,AMC,4000
FP,2,10,0,1501,0,TRUE,UT2,PEEC2015,AMC,0
FP,2,10,10,5300,0.1,TRUE,UT2,PEEC2015,AMC,100
FP,2,10,20,8738,0.2,TRUE,UT2,PEEC2015,AMC,200
FP,2,10,30,13523,0.3,TRUE,UT2,PEEC2015,AMC,300
FP,2,10,40,17321,0.4,TRUE,UT2,PEEC2015,AMC,400
AC,3,1000,0,1781,0,TRUE,UT,PEEC2015,AMC,0
AC,3,1000,10,93104,10,TRUE,UT,PEEC2015,AMC,10000
AC,3,1000,20,180014,20,TRUE,UT,PEEC2015,AMC,20000
AC,3,1000,30,268722,30,TRUE,UT,PEEC2015,AMC,30000
AC,3,1000,40,366289,40,TRUE,UT,PEEC2015,AMC,40000
AC,3,100,0,1747,0,TRUE,UT,PEEC2015,AMC,0
AC,3,100,10,7172,1,TRUE,UT,PEEC2015,AMC,1000
AC,3,100,20,12533,2,TRUE,UT,PEEC2015,AMC,2000
AC,3,100,30,15549,3,TRUE,UT,PEEC2015,AMC,3000
AC,3,100,40,22992,4,TRUE,UT,PEEC2015,AMC,4000
DR,1,1000,0,229.2,0,TRUE,MXS,PEEC2015,AMC,0
DR,1,1000,10,25239,10,TRUE,MXS,PEEC2015,AMC,10000
DR,1,1000,20,45337,20,TRUE,MXS,PEEC2015,AMC,20000
DR,1,1000,30,70499,30,TRUE,MXS,PEEC2015,AMC,30000
DR,1,1000,40,89954,40,TRUE,MXS,PEEC2015,AMC,40000
DR,1,100,0,226.3,0,TRUE,MXS,PEEC2015,AMC,0
DR,1,100,10,5438,1,TRUE,MXS,PEEC2015,AMC,1000
DR,1,100,20,10470,2,TRUE,MXS,PEEC2015,AMC,2000
DR,1,100,30,15887,3,TRUE,MXS,PEEC2015,AMC,3000
DR,1,100,40,21222,4,TRUE,MXS,PEEC2015,AMC,4000
DR,1,10,0,233.8,0,TRUE,MXS,PEEC2015,AMC,0
DR,1,10,10,597.5,0.1,TRUE,MXS,PEEC2015,AMC,100
DR,1,10,20,932.3,0.2,TRUE,MXS,PEEC2015,AMC,200
DR,1,10,30,1337,0.3,TRUE,MXS,PEEC2015,AMC,300
DR,1,10,40,1669,0.4,TRUE,MXS,PEEC2015,AMC,400
BB1,2,10,0,9488,0,TRUE,UT2,PEEC2015,AMC,0
BB1,2,10,10,11783,0.1,TRUE,UT2,PEEC2015,AMC,100
BB1,2,10,20,13538,0.2,TRUE,UT2,PEEC2015,AMC,200
BB1,2,10,30,15930,0.3,TRUE,UT2,PEEC2015,AMC,300
BB1,2,10,40,18824,0.4,TRUE,UT2,PEEC2015,AMC,400
